LINEAS 1. 2. C4. 1 Poveda,PARADA,LAT,LON,LINEAS
"Parada Camino del Molino, 2 (Centro de Salud) ","Camino del Molino, 2",40.296800,-3.432611,L1 /L1 Guijar/C4
"Parada Camino del Molino, 74. ","Camino del Molino, 74",40.284481,-3.430359,L1 /L1 Guijar/C4
"Parada Calle Valdemaría, 29. ","Calle Valdemaría, 29",40.294076,-3.440017,L1 /L1 Guijar/C4
"Parada Calle Goleta, 1 (parque del Mirador). ","Calle Goleta, 1",40.293854,-3.435742,L1/L1 Guijar/L2/C4
"Parada Calle Valdemaría, 15. ","Calle Valdemaría, 15",40.293854,-3.435742,L1/L1 Guijar/L2/C4
"Parada Ctra. de Morata, 100. Rotonda de los Almendros. ","Av. del Instituto, 100",40.292792,-3.443064,L1/L1 Guijar
"Parada Av. del Instituto, 123. Colonia de los Almendros. ","Av. del Instituto, 123",40.292162,-3.443102,L1/L1 Guijar
"Parada Av. del Instituto, 129 /Residencia de ancianos. ","Av. del Instituto,  129",40.292138,-3.443071,L1/L1 Guijar
"Parada Av. de Valdearganda, 2 (I.E.S. José Saramago) ","Av. de Valdearganda, 2",40.307292,-3.448174,L1 Guijar
"Parada Calle San Sebastián, 29 (Ciudad Deportiva). ","Calle San Sebastián, 29",40.307415,-3.451633,L1 Guijar/C4
"Parada Camino del Puente Viejo, 2 esq. Calle Sevilla.","Camino del Puente Viejo, 2",40.305173,-3.455019,L1 Guijar
"Parada Camino del Puente Viejo, 28 esq. Calle Ávila. ","Camino del Puente Viejo, 28",40.306413,-3.459428,L1 Guijar
"Parada Camino del Puente Viejo, 36 esq. Calle Islas Balerares. ","Camino del Puente Viejo, 36",40.309190,-3.462393,L1 Guijar
"Parada Camino del Puente Viejo, 50 esq. Calle Salamanca. ","Camino del Puente Viejo, 50",40.311312,-3.464428,L1 Guijar
"Parada Calle Brezo, 26 esq. Calle Pino. ","Calle Brezo, 26",40.314856,-3.466231,L1 Guijar
"Parada Vereda de las Yeguas, 25 esq. Av. Guijar. Línea 1 por Guijar","Vereda de las Yeguas, 25",40.316577,-3.463861,L1 Guijar
"Parada Av. del Guijar, 1 esq. Calle Acacia. ","Av. del Guijar, 1",40.319151,-3.462948,L1 Guijar
"Parada Av. del Guijar, 1. ","Av. del Guijar, 1",40.319151,-3.462948,L1 Guijar
"Parada Vereda de las Yeguas, 25 esq. Av. del Guijar. ","Vereda de las Yeguas, 25",40.316341,-3.464724,L1 Guijar
"Parada Calle Brezo, 7 esq. Calle Chopo. ","Calle Brezo, 7",40.315287,-3.466361,L1 Guijar
"Parada Camino del Puente Viejo, 50 esq. Calle Salamanca.","Camino del Puente Viejo, 50",40.311747,-3.46484,L1 Guijar
"Parada Camino del Puente Viejo, 11 esq. Calle Islas Baleares. ","Camino del Puente Viejo, 11",40.309329,-3.462689,L1 Guijar
"Parada Camino del Puente Viejo, 28 esq. Calle Alicante. ","Camino del Puente Viejo, 28",40.306588,-3.459975,L1 Guijar
"Parada Camino del Puente Viejo, 2 frente a Calle Sevilla. ","Camino del Puente Viejo, 2",40.305079,-3.454578,L1 Guijar
"Parada Calle San Sebastián, 29 (Ciudad Deportiva). ","Calle San Sebastián, 29",40.308278,-3.450646,L1 Guijar
Parada Ronda del Sur (frente al hospital). ,Ronda del Sur,40.296025,-3.457346,L2/C4
"Parada Ronda del Sur, 1. Rotonda Valdelarcipreste. ","Ronda del Sur, 1",40.296025,-3.446424,L2
"Parada Ronda del Sur, Rotonda de la Perlita. ",Ronda del Sur,40.296025,-3.446424,L2
Parada Ronda del Sur /Jardines de la Perlita. ,Ronda del Sur,40.295853,-3.444482,L2
"Parada Calle La Perlita, esq. Ctra. de Morata. ",Calle La Perlita,40.29582,-3.442293,L2
"Parada Paseo de los Navegantes, 10. Pza. de la Marina. ","Paseo de los Navegantes, 10",40.294928,-3.430213,L2
"Parada Paseo de los Navegantes, 20. Pza. Puerta de Levante. ","Paseo de los Navegantes, 20",40.294331,-3.426619,L2
"Parada Av. de Madrid, 12. Km. 3,800 (La Perla). ","Av. de Madrid, 12.",40.304862,-3.455844,L2
"Parada Av. de Madrid, 66 / Psje. Ana María del Valle. ","Av. de Madrid, 66",40.306441,-3.464073,L2
"Parada Av. de Madrid, 57 /Cmno. de Valdepencas. ","Av. de Madrid, 57",40.307693,-3.469985,L2
"Parada Av. de Madrid, 92. Km. 23,900 (Mercadona). ","Av. de Madrid, 92",40.309362,-3.47699,L2
"Parada Camino de los Canes, 2 / Av. de Madrid. ","Camino de los Canes, 2",40.310033,-3.479587,L2
"Parada Av. de Madrid, 132 / Ctra. de Campo Real. ","Av. de Madrid, 132",40.311644,-3.486443,L2
"Parada Ctra. de Campo Real, Km. 0,100 esq. Camino del Estrechillo. ","Ctra. de Campo Real, Km. 0,100",40.313215,-3.486228,L2
"Parada Ctra. de Campo Real, Km. 0,500 esq. Calle Monte Acho. ","Ctra. de Campo Real, Km. 0,500",40.315407,-3.483278,L2
"Parada Ctra. Campo Real, Km. 0,500 frente a Calle Monte Acho. ","Ctra. Campo Real, Km. 0,500",40.315902,-3.482972,L2
"Parada Ctra. Campo Real, Km. 0,100 esq. Camino del Estrechillo. ","Ctra. Campo Real, Km. 0,100",40.31319,-3.486335,L2
"Parada Av. de Madrid,125. Km. 22,900 esq. Calle Estío. ","Av. de Madrid, 125",40.311247,-3.486148,L2
"Parada Av. de Madrid, 105. ","Av. de Madrid, 105",40.310004,-3.480901,L2
"Parada Av. de Madrid, 89. Km. 23,900 (Mercadona). ","Av. de Madrid, 89",40.309092,-3.47728,L2
"Parada Av. de Madrid, 51 esq. Av. Finanzauto. ","Av. de Madrid, 51",40.307112,-3.468901,L2
"Parada Av. de Madrid, 35 esq. Camino del Valle. ","Av. de Madrid, 35",40.306146,-3.46417,L2
"Parada Av. de Madrid, 7 (frente a la Perla). ","Av. de Madrid, 7",40.304555,-3.456085,L2
"Parada Ctra. de Loeches, 42 esq. Virgen de Guadalupe. ","Ctra. de Loeches, 42",40.304338,-3.445324,L2/C4
"Parada Ctra. de Loeches, 37 (Parque municipal). ","Ctra. de Loeches, 37",40.303295,-3.4435,L2/C4
"Parada Ronda de Batres, 63. ","Ronda de Batres, 63",40.302947,-3.441929,L2/C4
"Parada Ronda de Batres, 31 esq. Calle Cartagena. ","Ronda de Batres, 31",40.302734,-3.439364,L2/C4
"Parada Calle Carretas, 8 (Colegio Carretas). ","Calle Carretas, 8",40.302039,-3.437337,L2/C4
"Parada Calle Carretas, 20. ","Calle Carretas, 20",40.299875,-3.434885,L2/C4
"Parada Calle Real, 114 (Argabus). ","Calle Real, 114",40.297773,-3.430035,L2
"Parada Paseo de los Navegantes, 20. Pza. Puerta de Levante. ","Paseo de los Navegantes, 20",40.294683,-3.426951,L2
"Parada Paseo de los Navegantes, 13. Pza. Marina. ","Paseo de los Navegantes, 13",40.295125,-3.430315,L2
"Parada Calle Belén, 19. Cuesta de los Poetas. ","Calle Belén, 19",40.298439,-3.443286,L2
"Parada Calle Siete Vientos, 107 esq. Calle Rafael Alberti. ","Calle Siete Vientos, 107",40.297465,-3.446606,L2
Parada Ronda del Sur / Siete Vientos. ,Ronda del Sur,40.296422,-3.44717,L2/C4
"Parada Ronda del Sur, 1 rotonda Valdelarcipreste (colegio). ","Ronda del Sur, 1",40.297007,-3.452057,L2/C4
Parada Ronda del Sur. Hospital.,Ronda del Sur,40.296213,-3.457346,L2/C4
"Parada Calle Praga, 3. Pza. Bratislava,","Calle Praga, 3",40.297469,-3.451767,C4
"Parada Av. de Roma, 5 esq. Av. de la Haya. Línea C4","Av. de Roma, 5",40.299281,-3.452303,C4
"Parada Av. de Lisboa, 10. Pza. de Estocolmo. ","Av. de Lisboa, 10",40.301941,-3.451257,C4
"Parada Av. del Ejército, 78. ","Av. del Ejército, 78",40.30397,-3.451563,C4
"Parada Calle San Sebastián, 1 esq. Av. del Ejército. ","Calle San Sebastián, 1",40.304927,-3.453494,C4
"Parada Av. República Argentina, 8 esq. Calle México. ","Av. República Argentina, 8",40.310372,-3.45364,C4
"Parada Calle Alcotán, 9 esq. Av. de los Villares. ","Calle Alcotán, 9",40.315698,-3.452497,C4
"Parada Camino de los Santos, 12 esq. Av. de la Vega. ","Camino de los Santos, 12",40.316606,-3.445762,C4
"Parada Camino de los Santos, 3 esq. Calle Golondrinas. ","Camino de los Santos, 3",40.316626,-3.446022,C4
"Parada Av. de Alcalá de Henares, 15 esq. Calle Rosales. ","Av. de Alcalá de Henares, 15",40.315043,-3.447524,C4
"Parada Av. de Alcalá de Henares, 18 esq. Av. de los Villares. ","Av. de Alcalá de Henares, 18",40.312291,-3.44857,C4
"Parada Calle Gaviota, 6 esq. Calle Oca. ","Calle Gaviota, 6",40.311628,-3.447717,C4
"Parada Calle Gaviota, 22 esq. Calle Convivencia. ","Calle Gaviota, 22",40.312225,-3.444976,C4
"Parada Calle Ilusión, 103 rotonda Calle Gaviota. ","Calle Ilusión, 103",40.311247,-3.442723,C4
"Parada Calle Concordia, 1 esq. Av. Derechos Humanos. ","Calle Concordia, 1",40.306171,-3.441811,C4
"Parada Av. de los Derechos Humanos, 13. ","Av. de los Derechos Humanos, 13",40.307967,-3.444048,C4
"Parada Calle Solidaridad, 3 esq. Av. Derechos Humanos. ","Calle Solidaridad, 3",40.308122,-3.446521,C4
